time,block_index,position,velocity,acceleration
0.0170,79,81.255726,0.000000,0.000000
0.0170,80,82.379637,0.000000,0.000000
0.0170,81,83.302948,0.000000,0.000000
0.0170,82,84.391855,0.000000,0.000000
0.0170,83,85.404436,0.000000,-0.000000
0.0170,84,86.438222,0.000000,0.000000
0.0170,85,87.587929,0.000000,-0.000000
0.0170,86,88.689397,0.000000,0.000000
0.0170,87,89.639051,0.000000,0.000000
0.0170,88,90.535502,0.000000,-0.000000
0.0170,89,91.360956,0.000000,0.000000
0.0170,90,92.265597,0.000000,-0.000000
0.0170,91,93.178666,0.000000,0.000000
0.0170,92,94.148452,0.000000,0.000000
0.0170,93,95.304725,0.000000,0.000000
0.0170,94,96.146072,0.000000,0.000000
0.0170,95,97.118047,0.000000,0.000000
0.0170,96,97.945442,0.000000,0.000000
0.0170,97,98.857971,0.000000,-0.000000
0.0170,98,99.933303,0.000000,0.000000
0.0170,99,100.958578,0.000000,0.000000
0.0340,0,1.640202,-0.680247,-19.304265
0.0340,1,2.277344,0.272121,7.635223
0.0340,2,3.380275,0.001194,0.106287
0.0340,3,4.333427,0.000001,0.000222
0.0340,4,5.300308,0.000000,0.000000
0.0340,5,6.415855,0.000000,0.000000
0.0340,6,7.582256,0.000000,0.000000
0.0340,7,8.594981,0.000000,0.000000
0.0340,8,9.604565,0.000000,0.000000
0.0340,9,10.789159,0.000000,0.000000
0.0340,10,11.693296,0.000000,0.000000
0.0340,11,12.668245,0.000000,0.000000
0.0340,12,13.548620,0.000000,0.000000
0.0340,13,14.658091,0.000000,0.000000
0.0340,14,15.647715,0.000000,0.000000
0.0340,15,16.828535,0.000000,0.000000
0.0340,16,17.725294,0.000000,0.000000
0.0340,17,18.528544,0.000000,-0.000000
0.0340,18,19.387094,0.000000,0.000000
0.0340,19,20.569846,0.000000,0.000000
0.0340,20,21.696789,0.000000,0.000000
0.0340,21,22.669362,0.000000,0.000000
0.0340,22,23.616583,0.000000,0.000000
0.0340,23,24.453432,0.000000,-0.000000
0.0340,24,25.487604,0.000000,0.000000
0.0340,25,26.351553,0.000000,0.000000
0.0340,26,27.409353,0.000000,-0.000000
0.0340,27,28.400149,0.000000,0.000000
0.0340,28,29.369482,0.000000,0.000000
0.0340,29,30.498940,0.000000,-0.000000
0.0340,30,31.426022,0.000000,0.000000
0.0340,31,32.510162,0.000000,-0.000000
0.0340,32,33.612209,0.000000,0.000000
0.0340,33,34.735084,0.000000,-0.000000
