time,block_x,block_y,position_x,position_y,velocity_x,velocity_y,acceleration_x,acceleration_y
0.1600,1,6,2.000000,7.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,1,7,2.000000,8.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,2,0,3.000000,1.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,2,1,3.000000,2.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,2,2,3.000000,3.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,2,3,3.000000,4.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,2,4,3.000005,5.000000,0.000100,0.000000,0.001625,-0.000000
0.1600,2,5,3.000000,6.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,2,6,3.000000,7.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,2,7,3.000000,8.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,3,0,4.000000,1.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,3,1,4.000000,2.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,3,2,4.000000,3.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,3,3,4.000000,4.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,3,4,4.002282,5.000000,0.022809,0.000000,0.081967,-0.000000
0.1600,3,5,4.000000,6.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,3,6,4.000000,7.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,3,7,4.000000,8.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,4,0,5.000000,1.000000,0.000000,0.000000,-0.000000,0.000000
0.1600,4,1,5.000000,2.000000,0.000000,0.000000,-0.000000,0.000002
0.1600,4,2,5.000000,3.000002,0.000000,0.000050,-0.000000,0.000813
0.1600,4,3,5.000000,4.001141,0.000000,0.011405,-0.000000,0.040983
0.1600,4,4,5.195426,5.097713,-0.045818,-0.022909,-0.167191,-0.083596
0.1600,4,5,5.000000,6.001141,0.000000,0.011405,-0.000000,0.040983
0.1600,4,6,5.000000,7.000002,0.000000,0.000050,-0.000000,0.000813
0.1600,4,7,5.000000,8.000000,0.000000,0.000000,-0.000000,0.000002
0.1600,5,0,6.000000,1.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,5,1,6.000000,2.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,5,2,6.000000,3.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,5,3,6.000000,4.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,5,4,6.002282,5.000000,0.022809,0.000000,0.081967,-0.000000
0.1600,5,5,6.000000,6.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,5,6,6.000000,7.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,5,7,6.000000,8.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,6,0,7.000000,1.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,6,1,7.000000,2.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,6,2,7.000000,3.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,6,3,7.000000,4.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,6,4,7.000005,5.000000,0.000100,0.000000,0.001625,-0.000000
0.1600,6,5,7.000000,6.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,6,6,7.000000,7.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,6,7,7.000000,8.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,7,0,8.000000,1.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,7,1,8.000000,2.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,7,2,8.000000,3.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,7,3,8.000000,4.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,7,4,8.000000,5.000000,0.000000,0.000000,0.000003,-0.000000
0.1600,7,5,8.000000,6.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,7,6,8.000000,7.000000,0.000000,0.000000,-0.000000,-0.000000
0.1600,7,7,8.000000,8.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,0,0,1.000000,1.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,0,1,1.000000,2.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,0,2,1.000000,3.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,0,3,1.000000,4.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,0,4,1.000000,5.000000,0.000000,0.000000,0.000000,-0.000000
0.2000,0,5,1.000000,6.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,0,6,1.000000,7.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,0,7,1.000000,8.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,1,0,2.000000,1.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,1,1,2.000000,2.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,1,2,2.000000,3.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,1,3,2.000000,4.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,1,4,2.000000,5.000000,0.000000,0.000000,0.000008,-0.000000
0.2000,1,5,2.000000,6.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,1,6,2.000000,7.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,1,7,2.000000,8.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,2,0,3.000000,1.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,2,1,3.000000,2.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,2,2,3.000000,3.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,2,3,3.000000,4.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,2,4,3.000011,5.000000,0.000177,0.000000,0.002218,-0.000000
0.2000,2,5,3.000000,6.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,2,6,3.000000,7.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,2,7,3.000000,8.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,3,0,4.000000,1.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,3,1,4.000000,2.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,3,2,4.000000,3.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,3,3,4.000000,4.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,3,4,4.003269,5.000000,0.025692,0.000000,0.062731,-0.000000
0.2000,3,5,4.000000,6.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,3,6,4.000000,7.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,3,7,4.000000,8.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,4,0,5.000000,1.000000,0.000000,0.000000,-0.000000,0.000000
0.2000,4,1,5.000000,2.000000,0.000000,0.000000,-0.000000,0.000004
0.2000,4,2,5.000000,3.000005,0.000000,0.000088,-0.000000,0.001109
0.2000,4,3,5.000000,4.001635,0.000000,0.012846,-0.000000,0.031365
0.2000,4,4,5.193440,5.096720,-0.051738,-0.025869,-0.129914,-0.064957
0.2000,4,5,5.000000,6.001635,0.000000,0.012846,-0.000000,0.031365
0.2000,4,6,5.000000,7.000005,0.000000,0.000088,-0.000000,0.001109
0.2000,4,7,5.000000,8.000000,0.000000,0.000000,-0.000000,0.000004
0.2000,5,0,6.000000,1.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,5,1,6.000000,2.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,5,2,6.000000,3.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,5,3,6.000000,4.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,5,4,6.003269,5.000000,0.025692,0.000000,0.062731,-0.000000
0.2000,5,5,6.000000,6.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,5,6,6.000000,7.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,5,7,6.000000,8.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,6,0,7.000000,1.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,6,1,7.000000,2.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,6,2,7.000000,3.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,6,3,7.000000,4.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,6,4,7.000011,5.000000,0.000177,0.000000,0.002218,-0.000000
0.2000,6,5,7.000000,6.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,6,6,7.000000,7.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,6,7,7.000000,8.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,7,0,8.000000,1.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,7,1,8.000000,2.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,7,2,8.000000,3.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,7,3,8.000000,4.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,7,4,8.000000,5.000000,0.000000,0.000000,0.000008,-0.000000
0.2000,7,5,8.000000,6.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,7,6,8.000000,7.000000,0.000000,0.000000,-0.000000,-0.000000
0.2000,7,7,8.000000,8.000000,0.000000,0.000000,-0.000000,-0.000000
0.2500,0,0,1.000000,1.000000,0.000000,0.000000,-0.000000,-0.000000
0.2500,0,1,1.000000,2.000000,0.000000,0.000000,-0.000000,-0.000000
0.2500,0,2,1.000000,3.000000,0.000000,0.000000,-0.000000,-0.000000
0.2500,0,3,1.000000,4.000000,0.000000,0.000000,-0.000000,-0.000000
0.2500,0,4,1.000000,5.000000,0.000000,0.000000,0.000000,-0.000000
0.2500,0,5,1.000000,6.000000,0.000000,0.000000,-0.000000,-0.000000
0.2500,0,6,1.000000,7.000000,0.000000,0.000000,-0.000000,-0.000000
0.2500,0,7,1.000000,8.000000,0.000000,0.000000,-0.000000,-0.000000
0.2500,1,0,2.000000,1.000000,0.000000,0.000000,-0.000000,-0.000000
0.2500,1,1,2.000000,2.000000,0.000000,0.000000,-0.000000,-0.000000
0.2500,1,2,2.000000,3.000000,0.000000,0.000000,-0.000000,-0.000000
0.2500,1,3,2.000000,4.000000,0.000000,0.000000,-0.000000,-0.000000
0.2500,1,4,2.000000,5.000000,0.000001,0.000000,0.000016,-0.000000
0.2500,1,5,2.000000,6.000000,0.000000,0.000000,-0.000000,-0.000000
0.2500,1,6,2.000000,7.000000,0.000000,0.000000,-0.000000,-0.000000
0.2500,1,7,2.000000,8.000000,0.000000,0.000000,-0.000000,-0.000000
0.2500,2,0,3.000000,1.000000,0.000000,0.000000,-0.000000,-0.000000
0.2500,2,1,3.000000,2.000000,0.000000,0.000000,-0.000000,-0.000000
0.2500,2,2,3.000000,3.000000,0.000000,0.000000,-0.000000,-0.000000
