time,kinetic_energy,potential_energy,total_energy
3.5840,0.221772,0.278228,0.500000
3.6010,0.220239,0.279760,0.500000
3.6170,0.219058,0.280941,0.500000
3.6340,0.218088,0.281912,0.500000
3.6510,0.217416,0.282584,0.500000
3.6670,0.217056,0.282944,0.500000
3.6840,0.216965,0.283035,0.500000
3.7010,0.217169,0.282830,0.500000
3.7170,0.217627,0.282372,0.500000
3.7340,0.218388,0.281612,0.500000
3.7510,0.219421,0.280579,0.500000
3.7670,0.220631,0.279369,0.500000
3.7840,0.222155,0.277845,0.500000
3.8010,0.223907,0.276093,0.500000
3.8170,0.225749,0.274250,0.500000
3.8340,0.227892,0.272107,0.500000
3.8510,0.230206,0.269794,0.500000
3.8670,0.232518,0.267482,0.500000
3.8840,0.235096,0.264904,0.500000
3.9010,0.237774,0.262225,0.500000
3.9170,0.240365,0.259635,0.500000
3.9340,0.243167,0.256833,0.500000
3.9510,0.245995,0.254005,0.500000
3.9670,0.248657,0.251342,0.500000
3.9840,0.251463,0.248536,0.500000
4.0010,0.254221,0.245778,0.500000
4.0170,0.256752,0.243248,0.500000
4.0340,0.259349,0.240651,0.500000
4.0510,0.261830,0.238169,0.500000
4.0670,0.264042,0.235958,0.500000
4.0840,0.266241,0.233759,0.500000
4.1010,0.268267,0.231733,0.500000
4.1170,0.270002,0.229997,0.500000
4.1340,0.271650,0.228350,0.500000
4.1510,0.273083,0.226916,0.500000
4.1670,0.274227,0.225772,0.500000
4.1840,0.275217,0.224782,0.500000
4.2010,0.275969,0.224031,0.500000
4.2170,0.276455,0.223545,0.500000
4.2340,0.276735,0.223265,0.500000
4.2510,0.276770,0.223229,0.500000
4.2670,0.276584,0.223416,0.500000
4.2840,0.276155,0.223844,0.500000
4.3010,0.275497,0.224503,0.500000
4.3170,0.274674,0.225326,0.500000
4.3340,0.273594,0.226406,0.500000
4.3510,0.272314,0.227686,0.500000
4.3670,0.270939,0.229061,0.500000
4.3840,0.269311,0.230689,0.500000
4.4010,0.267528,0.232472,0.500000
4.4170,0.265723,0.234277,0.500000
4.4340,0.263689,0.236310,0.500000
4.4510,0.261555,0.238445,0.500000
4.4670,0.259473,0.240527,0.500000
4.4840,0.257201,0.242798,0.500000
4.5010,0.254890,0.245109,0.500000
4.5170,0.252698,0.247302,0.500000
4.5340,0.250370,0.249629,0.500000
4.5510,0.248065,0.251935,0.500000
4.5670,0.245933,0.254066,0.500000
4.5840,0.243729,0.256271,0.500000
4.6010,0.241605,0.258395,0.500000
4.6170,0.239696,0.260304,0.500000
4.6340,0.237779,0.262220,0.500000
4.6510,0.235994,0.264006,0.500000
4.6670,0.234446,0.265554,0.500000
4.6840,0.232955,0.267045,0.500000
4.7010,0.231634,0.268366,0.500000
4.7170,0.230555,0.269445,0.500000
4.7340,0.229591,0.270409,0.500000
4.7510,0.228822,0.271178,0.500000
4.7670,0.228280,0.271720,0.500000
4.7840,0.227901,0.272099,0.500000
4.8010,0.227725,0.272275,0.500000
4.8170,0.227746,0.272254,0.500000
4.8340,0.227963,0.272037,0.500000
4.8510,0.228377,0.271623,0.500000
4.8670,0.228941,0.271059,0.500000
4.8840,0.229720,0.270280,0.500000
4.9010,0.230674,0.269326,0.500000
4.9170,0.231723,0.268276,0.500000
4.9340,0.232988,0.267012,0.500000
4.9500,0.234307,0.265693,0.500000
